               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.048351,              0.0196,                   0,             0.40588,             0.86667,             0.47582,            0.072512,            0.050094,            0.015644,                   0,          0.00078646,          0.00078646,            0.091086
                  98,            0.046074,            0.017794,                   0,              0.6469,             0.73284,             0.66714,             0.20804,            0.050395,            0.016761,                   0,          0.00079107,          0.00079107,            0.090991
                  99,            0.050847,            0.021031,                   0,             0.66648,             0.93333,             0.81992,             0.51381,            0.042875,            0.017061,                   0,          0.00079558,          0.00079558,            0.090896
                 100,            0.045439,            0.015266,                   0,             0.56508,             0.86667,             0.59473,             0.12437,            0.048246,            0.015805,                   0,              0.0008,              0.0008,              0.0908
                 101,            0.052911,             0.01835,                   0,             0.48322,                   1,             0.56938,             0.13933,              0.0507,            0.016007,                   0,          0.00080433,          0.00080433,            0.090704
                 102,            0.060776,            0.024287,                   0,             0.59943,                   1,             0.83329,             0.43398,             0.04891,            0.015762,                   0,          0.00080856,          0.00080856,            0.090609
                 103,            0.054506,            0.019437,                   0,             0.99998,                   1,               0.995,             0.64121,            0.042091,            0.016051,                   0,          0.00081269,          0.00081269,            0.090513
                 104,            0.040697,            0.018419,                   0,             0.62375,                   1,             0.84972,             0.23838,             0.04755,            0.015557,                   0,          0.00081673,          0.00081673,            0.090417
                 105,            0.045989,            0.020266,                   0,             0.90881,             0.66462,             0.84439,              0.3298,            0.042167,            0.015485,                   0,          0.00082068,          0.00082068,            0.090321
                 106,            0.046612,             0.01516,                   0,             0.59947,                   1,             0.84723,             0.54997,             0.03873,            0.015632,                   0,          0.00082453,          0.00082453,            0.090225
                 107,            0.043121,            0.022749,                   0,             0.65165,                   1,             0.81158,             0.39336,            0.041308,            0.015053,                   0,          0.00082828,          0.00082828,            0.090128
                 108,            0.045009,            0.019575,                   0,             0.83192,                   1,             0.95125,             0.49446,            0.041051,            0.014939,                   0,          0.00083194,          0.00083194,            0.090032
                 109,            0.043372,            0.019567,                   0,             0.62434,             0.66667,             0.67125,             0.31119,            0.050156,            0.014162,                   0,           0.0008355,           0.0008355,            0.089935
                 110,             0.05525,            0.023945,                   0,              0.9066,             0.66667,             0.76612,             0.27547,            0.044181,            0.014432,                   0,          0.00083896,          0.00083896,            0.089839
                 111,            0.048586,            0.014389,                   0,              0.7774,             0.93333,             0.92696,             0.42986,            0.044216,            0.014428,                   0,          0.00084233,          0.00084233,            0.089742
                 112,            0.050346,            0.020989,                   0,             0.58188,             0.92799,              0.8231,             0.52219,            0.041443,            0.014364,                   0,          0.00084561,          0.00084561,            0.089646
                 113,            0.046369,            0.022712,                   0,             0.62449,              0.6653,             0.70921,             0.28379,            0.046609,             0.01448,                   0,          0.00084878,          0.00084878,            0.089549
                 114,             0.04745,             0.02466,                   0,             0.93748,             0.99971,             0.97875,             0.51564,            0.040204,            0.015003,                   0,          0.00085186,          0.00085186,            0.089452
                 115,            0.046103,            0.020498,                   0,             0.77766,             0.93273,             0.88545,              0.2974,            0.045886,            0.015271,                   0,          0.00085485,          0.00085485,            0.089355
                 116,            0.042053,            0.016301,                   0,             0.83214,                   1,             0.94583,              0.4222,            0.048674,            0.015059,                   0,          0.00085774,          0.00085774,            0.089258
                 117,            0.050755,            0.016825,                   0,             0.74989,             0.99945,             0.91364,             0.56445,            0.039405,            0.015572,                   0,          0.00086053,          0.00086053,            0.089161
                 118,            0.037633,            0.019428,                   0,             0.82163,             0.93333,             0.94089,               0.554,            0.043788,            0.014741,                   0,          0.00086323,          0.00086323,            0.089063
